pathway	SL1	SL2	SL3	SL4	SL5	SL6	SL7	SL8	SL9	SL10	SL11	SL12	SL13	SL14	SL15	SL16	SL17	SL18	SL19	SL20	SL21
NONOXIPENT-PWY	13258.9077	13797.0911	13668.7517	13714.3898	11091.81	10569.5409	12272.7902	12124.7374	10930.6106	11652.3123	11907.2181	12284.3839	12551.1386	12701.8673	13295.3362	13846.6574	13865.2022	13883.7436	14778.4853	14827.9419	14694.0581
OANTIGEN-PWY	9832.7534	9600.9991	9488.8717	9487.1752	8194.1144	7777.8404	8670.7342	7298.3685	8515.5418	8806.3145	9359.753	8872.3893	8838.1606	8746.8252	9090.5494	9978.536	9870.922	10166.4166	9654.9503	10102.4048	8949.0505
P101-PWY	179.8958	196.5957	218.59	196.1102	191.9092	337.9807	178.5951	1235.6497	714.7521	682.3875	571.4925	2624.3237	2095.5789	3590.3511	527.9531	58.3691	46.6029	31.2519	45.8697	23.2791	70.6041
P105-PWY	11230.3226	11017.2854	11138.8893	11217.2548	9985.1807	9269.4605	10582.7761	9136.0792	9722.9796	9691.3021	10345.2017	9592.4037	9425.9301	9932.8819	8154.5215	8053.7077	8259.1716	8938.5005	7506.4313	7326.8617	7207.7602
P108-PWY	11869.1765	12086.1855	11965.9114	12052.111	10112.0259	9440.8972	10934.4242	11204.1246	10310.4578	10887.5435	11234.0501	10710.4344	10435.0384	10716.7983	11952.2755	12787.7848	12855.6839	12775.6727	12215.0887	11971.3917	12158.8274
P122-PWY	432.9502	508.4089	584.7544	477.9013	722.3265	1401.7297	1201.9604	904.3853	804.7762	447.4783	361.9848	2611.9725	2941.4184	2551.2068	351.1426	62.5216	47.6648	114.8834	304.2026	370.2962	813.07
P124-PWY	3979.7574	4784.316	4695.4371	4587.5196	2222.8777	2333.1853	2187.8406	4261.252	5745.7581	6517.186	6616.401	5544.4221	6074.6929	4048.8908	7936.8954	9052.2822	8862.1091	8967.5635	9242.3115	9940.8562	8482.7076
P161-PWY	133.8384	157.7054	183.739	147.672	261.7444	664.1545	534.1522	319.6112	260.4981	136.3596	108.8084	1258.3497	1680.5551	1813.8747	632.8895	62.1116	53.9166	35.9646	1240.8903	1211.0217	1473.7588
P164-PWY	5.3579	7.9959	13.3482	0.0	0.0	10.7094	0.0	7950.9264	5785.0414	6876.5306	5104.4731	5473.2694	4405.1068	5827.4788	9370.0953	6713.6004	7451.5138	6739.5661	7707.9984	5571.9862	8493.776
P221-PWY	16188.6817	17030.3102	15779.825	15619.467	11949.3891	10313.0013	12431.7792	5341.6919	6876.8688	7669.3888	7807.9287	9652.9002	9339.0951	9680.3519	10588.2508	10302.6712	10034.3003	10206.4404	10328.8581	11292.3046	9320.7139
